latC,lonC,ts
69.5,-168.25,2.4161619785017474e-06
69.5,-167.75,1.0325481098751171e-05
69.5,-167.25,5.072118216425546e-06
69.5,-166.75,2.423345825512022e-06
69.5,-166.25,7.312660940441807e-06
69.5,-165.75,3.4989079766106885e-06
69.5,-164.75,2.6583173920601508e-06
70.0,-168.25,2.6957210886633764e-06
70.0,-167.75,2.962314324975594e-06
70.0,-167.25,3.8668324950330265e-06
70.0,-166.75,2.434534363638546e-06
70.0,-166.25,4.6039106260581356e-06
70.0,-165.75,5.445644036819999e-06
70.0,-165.25,4.243429355386404e-06
70.0,-164.25,6.261071960403033e-06
70.5,-168.25,2.721333912564166e-06
70.5,-167.75,3.8368228175192265e-06
70.5,-167.25,4.591932344170448e-06
70.5,-166.75,4.805976936952942e-06
70.5,-166.25,6.7402821698842114e-06
70.5,-165.75,4.294100871078224e-06
70.5,-165.25,4.210896068664695e-06
70.5,-164.75,7.109855679245091e-06
70.5,-164.25,1.4073477797740904e-05
70.5,-163.75,6.0810115844815005e-06
70.5,-163.25,5.027764364991753e-06
70.5,-162.75,2.8672270054487105e-06
71.0,-168.25,1.9498074066375133e-06
71.0,-167.75,6.0577570189947246e-06
71.0,-167.25,2.2923902088645364e-06
71.0,-166.75,2.3708038980731504e-06
71.0,-166.25,4.858363490411848e-06
71.0,-165.75,5.086258521241505e-06
71.0,-165.25,5.188908942394088e-06
71.0,-164.75,5.059365650674239e-06
71.0,-164.25,2.1649919059851728e-06
71.0,-163.75,2.5844058847877723e-06
71.0,-163.25,2.2933888474892083e-06
71.0,-162.75,2.6350014075181486e-06
71.0,-162.25,3.26464072115712e-06
