,nasc,latC,lonC
0,49.36361918840579,66.5,-168.25
1,7.900226602941177,66.5,-167.75
2,69.73419207142857,66.5,-167.25
3,46.2331213875,66.5,-166.75
4,197.30562717391308,66.5,-166.25
5,57.988265673469385,66.5,-165.75
6,35.44861512698413,66.5,-165.25
7,234.20843289175255,67.0,-168.25
8,221.27617575925927,67.0,-167.75
9,152.91859363157897,67.0,-167.25
10,109.54884253409091,67.0,-166.75
11,16.062364322580645,67.0,-166.25
12,37.49191921698113,67.0,-165.75
13,85.56086311904764,67.0,-165.25
14,48.714356810344825,67.0,-164.75
15,156.91768006217617,67.5,-168.25
16,128.84941019277107,67.5,-167.75
17,150.46496125742576,67.5,-167.25
18,254.44007382499998,67.5,-166.75
19,142.53254433333333,67.5,-166.25
20,33.540684878048786,67.5,-165.75
21,78.8275980331126,67.5,-165.25
22,98.22900395698925,67.5,-164.75
23,105.01429668472906,68.0,-168.25
24,284.89536424427484,68.0,-167.75
25,351.8816414172662,68.0,-167.25
26,246.5354138157895,68.0,-166.75
27,114.6739142631579,68.0,-166.25
28,180.47247538834952,68.0,-165.75
29,85.02380115789474,68.0,-165.25
30,148.81643775886525,68.5,-168.25
31,229.0152798114754,68.5,-167.75
32,435.931790804878,68.5,-167.25
33,254.29818623076923,69.0,-168.75
34,243.43802625,69.0,-168.25
35,505.46874677011476,69.0,-167.75
36,287.23089175,69.0,-167.25
37,448.6590520368098,69.0,-166.75
38,473.64511691194974,69.0,-166.25
39,143.24024067647062,69.0,-165.75
40,350.3580439195402,69.5,-168.25
41,257.66678845679013,69.5,-167.75
42,227.54553125316463,69.5,-167.25
43,224.79512057692315,69.5,-166.75
44,321.0456798513514,69.5,-166.25
45,321.31943433783783,69.5,-165.75
46,326.12687800000003,69.5,-165.25
47,128.277456,69.5,-164.75
48,79.07630176923078,69.5,-164.25
49,573.7306667857143,70.0,-168.25
50,291.8549617614679,70.0,-167.75
51,250.99477293877547,70.0,-167.25
52,673.8277921263158,70.0,-166.75
53,472.22815627777777,70.0,-166.25
54,320.46492911627905,70.0,-165.75
55,481.11929801086956,70.0,-165.25
56,468.9160121739131,70.0,-164.75
57,121.52865536363636,70.0,-164.25
58,61.74005846195652,70.5,-168.25
59,148.02491469135802,70.5,-167.75
60,160.3820931842105,70.5,-167.25
61,306.24401785294117,70.5,-166.75
62,519.1619135945946,70.5,-166.25
63,1123.13541108,70.5,-165.75
64,1119.2116373815788,70.5,-165.25
65,1043.215097304878,70.5,-164.75
66,1221.1916677619047,70.5,-164.25
67,257.1605415263158,70.5,-163.75
68,182.48240461111112,70.5,-163.25
69,99.68307578481014,70.5,-162.75
70,81.265358375,71.0,-168.75
71,108.57471537155962,71.0,-168.25
72,689.0088518888888,71.0,-167.75
73,1260.0739237741934,71.0,-167.25
74,458.8884235147059,71.0,-166.75
75,70.74560231944444,71.0,-166.25
76,49.92159791463415,71.0,-165.75
77,61.53701251898733,71.0,-165.25
78,47.77728066666666,71.0,-164.75
79,40.00288606410256,71.0,-164.25
80,53.96259314876033,71.0,-163.75
81,36.03085078087649,71.0,-163.25
82,38.07894175925926,71.0,-162.75
83,60.001360807407416,71.0,-162.25
84,68.56292411020408,71.5,-168.25
85,115.21086511607142,71.5,-167.75
86,159.92083735714286,71.5,-167.25
87,91.35356174311927,71.5,-166.75
88,41.464226408695644,71.5,-166.25
89,48.50841502040816,71.5,-165.75
90,67.09592198969072,71.5,-165.25
91,33.43698043809523,71.5,-164.75
92,20.012961426086957,71.5,-164.25
93,29.5231420125,71.5,-163.75
94,100.02019777777777,71.5,-163.25
95,61.65439869696969,71.5,-162.75
96,85.98593142352941,71.5,-162.25
97,36.59364441322314,72.0,-168.25
98,48.72902344067798,72.0,-167.75
99,96.5653439,72.0,-167.25
100,58.44838835238095,72.0,-166.75
101,39.60015227368421,72.0,-166.25
102,31.656337857142862,72.0,-165.75
103,64.57969929787235,72.0,-165.25
104,34.64523625510204,72.0,-164.75
105,37.7342174248366,72.0,-164.25
106,57.711895843137256,72.5,-168.25
107,51.41218706923077,72.5,-167.75
108,39.79105479166666,72.5,-167.25
109,31.549182897058827,72.5,-166.75
110,34.835161992481204,72.5,-166.25
111,34.57744867142857,72.5,-165.75
112,36.30467485826771,72.5,-165.25
113,34.723229992592586,72.5,-164.75
114,39.22805840939597,72.5,-164.25
