,nasc,latC,lonC
0,308.3444754174757,69.5,-168.25
1,257.66678845679013,69.5,-167.75
2,227.54553125316463,69.5,-167.25
3,224.79512057692315,69.5,-166.75
4,321.0456798513514,69.5,-166.25
5,321.31943433783783,69.5,-165.75
6,326.12687800000003,69.5,-165.25
7,128.277456,69.5,-164.75
8,79.07630176923078,69.5,-164.25
9,127.014958496063,70.0,-168.75
10,372.1972910289855,70.0,-168.25
11,291.8549617614679,70.0,-167.75
12,250.99477293877547,70.0,-167.25
13,673.8277921263158,70.0,-166.75
14,472.22815627777777,70.0,-166.25
15,320.46492911627905,70.0,-165.75
16,481.11929801086956,70.0,-165.25
17,468.9160121739131,70.0,-164.75
18,121.52865536363636,70.0,-164.25
19,54.828457,70.5,-168.75
20,147.72781547490348,70.5,-168.25
21,129.33303939130434,70.5,-167.75
22,318.7322793833334,70.5,-167.25
23,133.1788643442623,70.5,-166.75
24,73.05881520000003,70.5,-166.25
25,190.3680772276423,70.5,-165.75
26,47.93448765289256,70.5,-165.25
27,60.65387750793649,70.5,-164.75
28,821.3966526551725,70.5,-164.25
29,1113.7658758809525,70.5,-163.75
30,429.65080982644633,70.5,-163.25
31,107.74735328448274,70.5,-162.75
32,414.2122279836065,70.5,-162.25
33,1093.125346933333,70.5,-161.75
34,544.6404577676057,71.0,-168.25
35,253.82015129220778,71.0,-167.75
36,169.74299470270267,71.0,-167.25
37,118.84184323489933,71.0,-166.75
38,99.49916686330934,71.0,-166.25
39,107.09216410067114,71.0,-165.75
40,72.68836668421054,71.0,-165.25
41,70.8240082330097,71.0,-164.75
42,46.34672618644069,71.0,-164.25
43,72.47214890441177,71.0,-163.75
44,159.78870618599564,71.0,-163.25
45,133.0210023989899,71.0,-162.75
46,153.76713322727275,71.0,-162.25
