,nasc,latC,lonC
0,109.341387,69.5,-168.75
1,279.02073804864864,69.5,-168.25
2,234.45745633898306,69.5,-167.75
3,148.80279889814815,69.5,-167.25
4,141.59110359433961,69.5,-166.75
5,53.535987293103446,69.5,-166.25
6,31.310881592920357,69.5,-165.75
7,46.32661366393444,69.5,-165.25
8,314.094524381356,69.5,-164.75
9,55.1881734141791,70.0,-168.25
10,45.68928709848485,70.0,-167.75
11,53.65913705294117,70.0,-167.25
12,47.619991000000006,70.0,-166.75
13,172.21012042063492,70.0,-166.25
14,371.9827373596491,70.0,-165.75
15,435.0477097894737,70.0,-165.25
16,246.564836828125,70.0,-164.75
17,591.7548109423077,70.0,-164.25
18,509.1834855000001,70.0,-163.75
19,486.89546543965514,70.0,-163.25
20,178.40484645454544,70.0,-162.75
21,28.48371807,70.5,-168.75
22,40.09253361654135,70.5,-168.25
23,39.90776272815535,70.5,-167.75
24,40.40369398019802,70.5,-167.25
25,224.46282113675218,70.5,-166.75
26,221.85532704716982,70.5,-166.25
27,134.7971133823529,70.5,-165.75
28,210.57683692187499,70.5,-165.25
29,160.15036981132073,70.5,-164.75
30,261.3785152941177,70.5,-164.25
31,428.1139709296875,70.5,-163.75
32,584.6322257961165,70.5,-163.25
33,401.7890354513889,70.5,-162.75
34,161.83937924042556,70.5,-162.25
35,234.37672063677127,70.5,-161.75
36,60.2235795776699,70.5,-161.25
37,16.596716809523805,70.5,-160.75
38,89.61730380894308,71.0,-168.25
39,227.12627914000004,71.0,-167.75
40,343.49780083809526,71.0,-167.25
41,606.4070551875,71.0,-166.75
42,332.63074028440366,71.0,-166.25
43,127.84432988775514,71.0,-165.75
44,92.61973529464287,71.0,-165.25
45,57.13783393333333,71.0,-164.75
46,23.710822878787877,71.0,-164.25
47,21.024051747474747,71.0,-163.75
48,447.248826682741,71.0,-163.25
49,255.28478925141243,71.0,-162.75
50,9.038830474137933,71.0,-162.25
51,20.748911368055555,71.0,-161.75
52,21.468298280991736,71.0,-161.25
53,16.715995856079402,71.0,-160.75
54,13.722877344370861,71.0,-160.25
55,22.090446345864663,71.0,-159.75
