latC,lonC,ts
69.5,-168.25,2.189967812645549e-06
69.5,-167.75,5.194596355330812e-06
69.5,-167.25,1.7540055298467864e-06
69.5,-166.75,6.688806610141697e-06
69.5,-166.25,1.5616936575293e-06
69.5,-165.75,1.571755330985658e-06
69.5,-164.75,3.4142100919871146e-06
70.0,-168.25,3.0067192173610144e-06
70.0,-167.75,2.525165175223835e-06
70.0,-167.25,2.4423481464866046e-06
70.0,-166.75,2.256737773066337e-06
70.0,-166.25,2.99475674867558e-06
70.0,-165.75,2.7565377557472394e-06
70.0,-165.25,3.424165091305149e-06
70.0,-164.25,3.003224779179721e-06
70.5,-168.25,1.4336271951278471e-06
70.5,-167.75,1.4464742225955128e-06
70.5,-167.25,1.7220007170548784e-06
70.5,-166.75,2.224520636996133e-06
70.5,-166.25,1.7459510587045607e-06
70.5,-165.75,1.8445728362644846e-06
70.5,-165.25,1.3879637880539387e-06
70.5,-164.75,1.8029366506146038e-06
70.5,-164.25,2.747157930473079e-06
70.5,-163.75,2.451285926433082e-06
70.5,-163.25,2.0170440272421384e-06
70.5,-162.75,2.1277223999681117e-06
71.0,-168.25,1.5896655229271994e-06
71.0,-167.75,1.921169305451641e-06
71.0,-167.25,1.672755085811137e-06
71.0,-166.75,2.2222185482774563e-06
71.0,-166.25,2.010123454597565e-06
71.0,-165.75,1.8947930260034563e-06
71.0,-165.25,1.3305770465199874e-06
71.0,-164.75,1.9891853876138384e-06
71.0,-164.25,1.8506688139556003e-06
71.0,-163.75,1.4168745865024098e-06
71.0,-163.25,1.5927322509702512e-06
71.0,-162.75,1.5053777759344145e-06
71.0,-162.25,1.1086694743159762e-06
