,x,y
0,203,2.1227285475830754e-06
1,202,2.351838868369974e-06
2,202,2.1106756938211067e-06
3,202,2.2171427186488443e-06
4,202,3.087888822490089e-06
5,202,2.5718705294200644e-06
6,201,1.0927168322551365e-06
7,203,1.8836139195418525e-06
8,203,1.8077576147527991e-06
9,203,1.8895154987791907e-06
10,204,1.969802521875379e-06
11,205,2.2858080119823974e-06
12,205,2.648212248492411e-06
13,205,2.571878731064096e-06
14,205,1.6547073202156445e-06
15,210,1.8881678036486705e-06
16,210,1.4495114637274372e-06
17,209,1.8515224402474688e-06
18,209,2.0553686055102223e-06
19,209,2.1331336141939287e-06
20,209,1.409024333718066e-06
21,208,1.8111436037107748e-06
22,208,1.9129022631914788e-06
23,208,1.7700172255081119e-06
24,207,1.5645565941769953e-06
25,206,2.031429186297839e-06
26,206,1.993251162876518e-06
27,210,1.8550289261065332e-06
28,210,2.564307982603717e-06
29,211,1.434959856283695e-06
30,211,1.7085286309711994e-06
31,211,2.181753811422876e-06
32,211,2.3750474045618862e-06
33,211,2.2393360040012266e-06
34,211,2.2499990854143664e-06
35,211,1.8263483494530143e-06
36,211,1.3960201398824293e-06
37,212,1.4765922526215642e-06
38,212,1.451858827291958e-06
39,214,2.144580222416507e-06
40,223,2.189967812645549e-06
41,223,5.194596355330812e-06
42,224,1.7540055298467864e-06
43,224,6.688806610141697e-06
44,224,1.5616936575293e-06
45,224,1.571755330985658e-06
46,224,3.4142100919871146e-06
47,223,3.0067192173610144e-06
48,222,2.525165175223835e-06
49,221,2.4423481464866046e-06
50,221,2.256737773066337e-06
51,221,2.99475674867558e-06
52,220,2.7565377557472394e-06
53,220,3.424165091305149e-06
54,219,3.003224779179721e-06
55,214,1.4336271951278471e-06
56,214,1.4464742225955128e-06
57,214,1.7220007170548784e-06
58,214,2.224520636996133e-06
59,215,1.7459510587045607e-06
60,215,1.8445728362644846e-06
61,215,1.3879637880539387e-06
62,215,1.8029366506146038e-06
63,215,2.747157930473079e-06
64,215,2.451285926433082e-06
65,216,2.0170440272421384e-06
66,216,2.1277223999681117e-06
67,214,1.5896655229271994e-06
68,214,1.921169305451641e-06
69,214,1.672755085811137e-06
70,213,2.2222185482774563e-06
71,213,2.010123454597565e-06
72,213,1.8947930260034563e-06
73,212,1.3305770465199874e-06
74,211,1.9891853876138384e-06
75,211,1.8506688139556003e-06
76,211,1.4168745865024098e-06
77,210,1.5927322509702512e-06
78,209,1.5053777759344145e-06
79,209,1.1086694743159762e-06
80,240,1.7488967460701195e-06
81,240,1.4555839443417624e-06
82,240,1.349326043198916e-06
83,240,2.15688022327459e-06
84,239,1.975442454574828e-06
85,239,3.867538623684908e-06
86,239,3.946103755168563e-07
87,236,5.129709911364319e-06
88,237,4.5155241693566e-06
89,237,2.0184255969657456e-06
90,237,3.720944906141059e-06
91,238,4.76557865420872e-06
92,238,4.171082112550045e-06
93,238,4.9038279138883295e-06
94,239,5.2024422322963915e-06
95,236,2.51478235387182e-06
96,235,3.1362378179781337e-06
97,235,3.2076082357453305e-06
98,235,2.141900983802213e-06
99,235,3.356145354877985e-06
100,235,1.790291302153563e-06
101,235,1.350654988098122e-06
102,235,2.6701889823605132e-06
103,235,3.667999786404459e-06
104,234,3.3977288331721984e-06
105,234,3.182559008000104e-06
106,234,3.446271117623513e-06
107,228,2.9387560245059335e-06
108,228,2.6200221096333947e-06
109,228,3.019381029089775e-06
110,228,3.0014594273963914e-06
111,227,2.7838386088575614e-06
112,227,2.7238431502701854e-06
113,227,1.99267095636182e-06
114,227,1.2332166283838062e-06
115,227,2.3940918953436133e-06
116,227,2.1766264685000547e-06
117,225,2.3783490957436188e-06
118,225,2.3983295861131784e-06
119,225,2.735058068867144e-06
120,252,2.4161619785017474e-06
121,253,1.0325481098751171e-05
122,253,5.072118216425546e-06
123,253,2.423345825512022e-06
124,254,7.312660940441807e-06
125,254,3.4989079766106885e-06
126,254,2.6583173920601508e-06
127,252,2.6957210886633764e-06
128,252,2.962314324975594e-06
129,251,3.8668324950330265e-06
130,251,2.434534363638546e-06
131,251,4.6039106260581356e-06
132,250,5.445644036819999e-06
133,250,4.243429355386404e-06
134,250,6.261071960403033e-06
135,246,2.721333912564166e-06
136,247,3.8368228175192265e-06
137,247,4.591932344170448e-06
138,247,4.805976936952942e-06
139,248,6.7402821698842114e-06
140,248,4.294100871078224e-06
141,248,4.210896068664695e-06
142,248,7.109855679245091e-06
143,248,1.4073477797740904e-05
144,249,6.0810115844815005e-06
145,249,5.027764364991753e-06
146,249,2.8672270054487105e-06
147,245,1.9498074066375133e-06
148,245,6.0577570189947246e-06
149,245,2.2923902088645364e-06
150,245,2.3708038980731504e-06
151,245,4.858363490411848e-06
152,245,5.086258521241505e-06
153,244,5.188908942394088e-06
154,244,5.059365650674239e-06
155,244,2.1649919059851728e-06
156,243,2.5844058847877723e-06
157,243,2.2933888474892083e-06
158,242,2.6350014075181486e-06
159,242,3.26464072115712e-06
