Ping_date,Ping_time,Ping_milliseconds,Latitude,Longitude,Position_status,Depth,Line_status,Ping_status,Altitude,GPS_UTC_time
2018-08-29,01:03:12,609.0,999.00000000,999.00000000,4,50.167912,1,0,-9.9e+37,-1
2018-08-29,01:03:14,129.0,999.00000000,999.00000000,4,50.166672,1,0,-9.9e+37,-1
2018-08-29,01:03:15,650.0,999.00000000,999.00000000,4,50.167935,1,0,-9.9e+37,-1
2018-08-29,01:03:17,169.0,999.00000000,999.00000000,4,50.238889,1,0,-9.9e+37,-1
2018-08-29,01:03:18,690.0,999.00000000,999.00000000,4,50.237024,1,0,-9.9e+37,-1
2018-08-29,01:03:20,209.0,999.00000000,999.00000000,4,50.238815,1,0,-9.9e+37,-1
2018-08-29,01:03:21,730.0,999.00000000,999.00000000,4,50.502135,1,0,-9.9e+37,-1
2018-08-29,01:03:23,249.0,999.00000000,999.00000000,4,50.401531,1,0,-9.9e+37,-1
2018-08-29,01:03:24,769.0,999.00000000,999.00000000,4,50.333812,1,0,-9.9e+37,-1
2018-08-29,01:03:26,290.0,999.00000000,999.00000000,4,50.332322,1,0,-9.9e+37,-1
2018-08-29,01:03:27,809.0,999.00000000,999.00000000,4,50.333732,1,0,-9.9e+37,-1
2018-08-29,01:03:29,330.0,999.00000000,999.00000000,4,50.104111,1,0,-9.9e+37,-1
2018-08-29,01:03:30,849.0,999.00000000,999.00000000,4,50.101728,1,0,-9.9e+37,-1
2018-08-29,01:03:32,370.0,999.00000000,999.00000000,4,50.104269,1,0,-9.9e+37,-1
2018-08-29,01:03:33,889.0,999.00000000,999.00000000,4,50.415504,1,0,-9.9e+37,-1
2018-08-29,01:03:35,409.0,999.00000000,999.00000000,4,50.285429,1,0,-9.9e+37,-1
2018-08-29,01:03:36,930.0,999.00000000,999.00000000,4,50.283751,1,0,-9.9e+37,-1
2018-08-29,01:03:38,449.0,999.00000000,999.00000000,4,50.285583,1,0,-9.9e+37,-1
2018-08-29,01:03:39,970.0,999.00000000,999.00000000,4,50.240861,1,0,-9.9e+37,-1
2018-08-29,01:03:41,489.0,999.00000000,999.00000000,4,50.239451,1,0,-9.9e+37,-1
2018-08-29,01:03:43,009.0,999.00000000,999.00000000,4,50.089346,1,0,-9.9e+37,-1
2018-08-29,01:03:44,529.0,999.00000000,999.00000000,4,50.088277,1,0,-9.9e+37,-1
2018-08-29,01:03:46,049.0,999.00000000,999.00000000,4,50.089198,1,0,-9.9e+37,-1
2018-08-29,01:03:47,570.0,999.00000000,999.00000000,4,50.321614,1,0,-9.9e+37,-1
2018-08-29,01:03:49,089.0,999.00000000,999.00000000,4,50.323283,1,0,-9.9e+37,-1
2018-08-29,01:03:50,610.0,999.00000000,999.00000000,4,50.405183,1,0,-9.9e+37,-1
2018-08-29,01:03:52,129.0,999.00000000,999.00000000,4,50.386814,1,0,-9.9e+37,-1
2018-08-29,01:03:53,650.0,999.00000000,999.00000000,4,50.315067,1,0,-9.9e+37,-1
2018-08-29,01:03:55,169.0,999.00000000,999.00000000,4,50.313469,1,0,-9.9e+37,-1
2018-08-29,01:03:56,689.0,999.00000000,999.00000000,4,50.315084,1,0,-9.9e+37,-1
2018-08-29,01:03:58,209.0,999.00000000,999.00000000,4,50.052584,1,0,-9.9e+37,-1
2018-08-29,01:03:59,730.0,999.00000000,999.00000000,4,50.050959,1,0,-9.9e+37,-1
2018-08-29,01:04:01,249.0,999.00000000,999.00000000,4,50.052613,1,0,-9.9e+37,-1
2018-08-29,01:04:02,770.0,999.00000000,999.00000000,4,50.513605,1,0,-9.9e+37,-1
2018-08-29,01:04:04,289.0,999.00000000,999.00000000,4,50.332152,1,0,-9.9e+37,-1
2018-08-29,01:04:05,810.0,999.00000000,999.00000000,4,50.330581,1,0,-9.9e+37,-1
2018-08-29,01:04:07,329.0,999.00000000,999.00000000,4,50.329997,1,0,-9.9e+37,-1
2018-08-29,01:04:08,849.0,999.00000000,999.00000000,4,50.177592,1,0,-9.9e+37,-1
2018-08-29,01:04:10,369.0,999.00000000,999.00000000,4,50.176183,1,0,-9.9e+37,-1
2018-08-29,01:04:11,890.0,999.00000000,999.00000000,4,50.176885,1,0,-9.9e+37,-1
2018-08-29,01:04:13,409.0,999.00000000,999.00000000,4,50.252084,1,0,-9.9e+37,-1
