Ping_date,Ping_time,Ping_milliseconds,Latitude,Longitude,Position_status,Depth,Line_status,Ping_status,Altitude,GPS_UTC_time
2018-08-29,01:03:12,609.0,999.00000000,999.00000000,4,51.156162,1,0,-9.9e+37,-1
2018-08-29,01:03:14,129.0,999.00000000,999.00000000,4,51.154897,1,0,-9.9e+37,-1
2018-08-29,01:03:15,650.0,999.00000000,999.00000000,4,51.156186,1,0,-9.9e+37,-1
2018-08-29,01:03:17,169.0,999.00000000,999.00000000,4,51.228670,1,0,-9.9e+37,-1
2018-08-29,01:03:18,690.0,999.00000000,999.00000000,4,51.226768,1,0,-9.9e+37,-1
2018-08-29,01:03:20,209.0,999.00000000,999.00000000,4,51.228595,1,0,-9.9e+37,-1
2018-08-29,01:03:21,730.0,999.00000000,999.00000000,4,51.497273,1,0,-9.9e+37,-1
2018-08-29,01:03:23,249.0,999.00000000,999.00000000,4,51.394615,1,0,-9.9e+37,-1
2018-08-29,01:03:24,769.0,999.00000000,999.00000000,4,51.325477,1,0,-9.9e+37,-1
2018-08-29,01:03:26,290.0,999.00000000,999.00000000,4,51.323957,1,0,-9.9e+37,-1
2018-08-29,01:03:27,809.0,999.00000000,999.00000000,4,51.325396,1,0,-9.9e+37,-1
2018-08-29,01:03:29,330.0,999.00000000,999.00000000,4,51.091242,1,0,-9.9e+37,-1
2018-08-29,01:03:30,849.0,999.00000000,999.00000000,4,51.088808,1,0,-9.9e+37,-1
2018-08-29,01:03:32,370.0,999.00000000,999.00000000,4,51.091399,1,0,-9.9e+37,-1
2018-08-29,01:03:33,889.0,999.00000000,999.00000000,4,51.408836,1,0,-9.9e+37,-1
2018-08-29,01:03:35,409.0,999.00000000,999.00000000,4,51.276151,1,0,-9.9e+37,-1
2018-08-29,01:03:36,930.0,999.00000000,999.00000000,4,51.274437,1,0,-9.9e+37,-1
2018-08-29,01:03:38,449.0,999.00000000,999.00000000,4,51.276302,1,0,-9.9e+37,-1
2018-08-29,01:03:39,970.0,999.00000000,999.00000000,4,51.230632,1,0,-9.9e+37,-1
2018-08-29,01:03:41,489.0,999.00000000,999.00000000,4,51.229193,1,0,-9.9e+37,-1
2018-08-29,01:03:43,009.0,999.00000000,999.00000000,4,51.075956,1,0,-9.9e+37,-1
2018-08-29,01:03:44,529.0,999.00000000,999.00000000,4,51.074864,1,0,-9.9e+37,-1
2018-08-29,01:03:46,049.0,999.00000000,999.00000000,4,51.075805,1,0,-9.9e+37,-1
2018-08-29,01:03:47,570.0,999.00000000,999.00000000,4,51.313069,1,0,-9.9e+37,-1
